"date","nbre"
"21/02","12"
"22/02","12"
"23/02","12"
"24/02","12"
"25/02","14"
"26/02","18"
"27/02","38"
"28/02","73"
"29/02","100"
"01/03","130"
"02/03","191"
"03/03","212"
"04/03","285"
"05/03","423"
"06/03","613"
"07/03","949"
"08/03","1126"
"09/03","1412"
"10/03","1784"
"11/03","2281"
"12/03","2876"
"13/03","3661"
"14/03","4499"
"15/03","5423"
"16/03","6633"
"17/03","7730"
"18/03","9134"
"19/03","10995"
"20/03","12612"
"21/03","14459"
"22/03","16018"
"23/03","19856"
"24/03","22302"
"25/03","25230"
"26/03","29155"
"27/03","32964"
"28/03","37575"
"29/03","40174"
"30/03","44550"
"31/03","52128"
"01/04","56989"
"02/04","59105"
"03/04","64338"
"04/04","68605"
"05/04","70478"
"06/04","74389"
"07/04","78167"
"08/04","82048"
"09/04","86334"
"10/04","90676"
"11/04","93790"
"12/04","95403"
"13/04","98076"
"14/04","103573"
"15/04","106206"
"16/04","108847"
"17/04","109252"
"18/04","111821"
"19/04","112606"
"20/04","114657"
"21/04","117324"
"22/04","119151"
"23/04","120804"
"24/04","122577"
"25/04","124114"
"26/04","124575"
"27/04","125770"
"28/04","126835"
"29/04","128442"
"30/04","129581"
"01/05","130185"
"02/05","130979"
"03/05","131287"
"04/05","131863"
"05/05","132967"
"06/05","137150"
"07/05","137779"
"08/05","138421"
"09/05","138854"
"10/05","139063"
"11/05","139519"
"12/05","140227"
"13/05","140734"
"14/05","141356"
"15/05","141919"
"16/05","142291"
"17/05","142411"
"18/05","142903"
"19/05","143427"
"20/05","143845"
"21/05","144163"
"22/05","144566"
"23/05","144806"
"24/05","144921"
"25/05","145279"
"26/05","145555"
"27/05","145746"
"28/05","149071"
"29/05","149668"
"30/05","151496"
"31/05","151753"
"01/06","152091"
"02/06","151325"
"03/06","151677"
"04/06","152444"
"05/06","153055"
"06/06","153634"
"07/06","153977"
"08/06","154188"
"09/06","154591"
"10/06","155136"
"11/06","155561"
"12/06","156287"
"13/06","156813"
"14/06","157220"
"15/06","157372"
"16/06","157716"
"17/06","158174"
"18/06","158641"
"19/06","159452"
"20/06","160093"
"21/06","160377"
"22/06","160750"
"23/06","161267"
"24/06","161348"
"25/06","161348"
"26/06","162936"
"27/06","163454"
"28/06","163980"
"29/06","164260"
"30/06","164801"
"01/07","165719"
"02/07","166378"
"03/07","166960"
"06/07","168335"
"07/07","168810"
"08/07","169473"
"09/07","170094"
"10/07","170752"
"13/07","172377"
"15/07","173304"
"16/07","173838"
"17/07","174674"
"20/07","176754"
"21/07","177338"
"22/07","178336"
"23/07","179398"
"24/07","180528"
"27/07","183079"
"28/07","183804"
"29/07","185196"
"30/07","186573"
"31/07","187919"
"03/08","191295"
"04/08","192334"
"05/08","194029"
"06/08","195633"
"07/08","197921"
"10/08","202775"
"11/08","204172"
"12/08","206696"
"13/08","209365"
"14/08","212211"
"15/08","215521"
"16/08","218536"
"17/08","219029"
"18/08","221267"
"19/08","225043"
"20/08","229814"
"21/08","234400"
"22/08","238002"
"23/08","242899"
"24/08","244854"
"25/08","248158"
"26/08","253587"
"27/08","259698"
"28/08","267077"
"29/08","272530"
"30/08","277943"
"31/08","281025"
"01/09","286007"
"02/09","293024"
"03/09","300181"
"04/09","309156"
"05/09","317706"
"06/09","324777"
"07/09","328980"
"08/09","335524"
"09/09","344101"
"10/09","353944"
"11/09","363350"
"12/09","373911"
"13/09","381094"
"14/09","387252"
"15/09","395104"
"16/09","404888"
"17/09","415481"
"18/09","428696"
"19/09","442194"
"20/09","453763"
"21/09","458061"
"22/09","468069"
"23/09","481141"
"24/09","497237"
"25/09","513034"
"26/09","527446"
"27/09","538569"
"28/09","542639"
"29/09","550690"
"30/09","563535"
"01/10","577505"
"02/10","589653"
"03/10","606625"
"04/10","619190"
"05/10","624274"
"06/10","634763"
"07/10","653509"
"08/10","671638"
"09/10","691977"
"10/10","718873"
"11/10","734974"
"12/10","743479"
"13/10","756472"
"14/10","779063"
"15/10","809684"
"16/10","834770"
"17/10","867197"
"18/10","897034"
"19/10","910277"
"20/10","930745"
"21/10","957421"
"22/10","999043"
"23/10","1041075"
"24/10","1086497"
"25/10","1138507"
"26/10","1165278"
"27/10","1198695"
"28/10","1235132"
"29/10","1282769"
"30/10","1331984"
"31/10","1364625"
"01/11","1413915"
"02/11","1466433"
"03/11","1502763"
"04/11","1543321"
"05/11","1601367"
"06/11","1661853"
"07/11","1748705"
"08/11","1787324"
"09/11","1807479"
"10/11","1829659"
"11/11","1865538"
"12/11","1898710"
"13/11","1922504"
"14/11","1954599"
"15/11","1981827"
"16/11","1991233"
"17/11","2036755"
"18/11","2065138"
"19/11","2086288"
"20/11","2109170"
"21/11","2127051"
"22/11","2140208"
"23/11","2144660"
"24/11","2153815"
"25/11","2170097"
"26/11","2183660"
"27/11","2196119"
"28/11","2208699"
"29/11","2218483"
"30/11","2222488"
"01/12","2230571"
"02/12","2244635"
"03/12","2257331"
"04/12","2268552"
"05/12","2281475"
"06/12","2292497"
"07/12","2295908"
"08/12","2309621"
"09/12","2324216"
"10/12","2337966"
"11/12","2351372"
"12/12","2365319"
"13/12","2376852"
"14/12","2379915"
"15/12","2391447"
"16/12","2409062"
"17/12","2427316"
"18/12","2442990"
"19/12","2460555"
"20/12","2473354"
"21/12","2479151"
"22/12","2490946"
"23/12","2505875"
"24/12","2527509"
"25/12","2547771"
"26/12","2550864"
"27/12","2559686"
"28/12","2562646"
"29/12","2574041"
"30/12","2600498"
"31/12","2620425"
"01/01","2639773"
"02/01","2643239"
"03/01","2655728"
"04/01","2659750"
"05/01","2680239"
"06/01","2705618"
"07/01","2727321"
"08/01","2747135"
"09/01","2767312"
"10/01","2783256"
"11/01","2786838"
"12/01","2806590"
"13/01","2830442"
"14/01","2851670"
"15/01","2872941"
"16/01","2894347"
"17/01","2910989"
"18/01","2914725"
"19/01","2938333"
"20/01","2965117"
"21/01","2987965"
"22/01","3011257"
"23/01","3035181"
"24/01","3053617"
"25/01","3057857"
"26/01","3079943"
"27/01","3106859"
"28/01","3130629"
"29/01","3153487"
"30/01","3177879"
"31/01","3197114"
"01/02","3201461"
"02/02","3224798"
"03/02","3251160"
"04/02","3274608"
"05/02","3296747"
"06/02","3317333"
"07/02","3337048"
"08/02","3341365"
"09/02","3360235"
"10/02","3385622"
"11/02","3406685"
"12/02","3427386"
"13/02","3448617"
"14/02","3465163"
"15/02","3469539"
"16/02","3489129"
"17/02","3514147"
"18/02","3536648"
"19/02","3560764"
"20/02","3583135"
"21/02","3605181"
"22/02","3609827"
"23/02","3629891"
"24/02","3661410"
"25/02","3686813"
"26/02","3712020"
"27/02","3736016"
"28/02","3755968"
"01/03","3760671"
"02/03","3783528"
